,Mean,Median,Std,Years,Mean_detrended,resid
35,10.32158469945355,9.4,6.520971328789027,1936.0,0.06607955728476433,-0.08047670688836417
36,10.663013698630136,10.0,7.180121881509277,1937.0,0.37769138079771203,0.3301061515269905
37,10.164109589041097,9.9,7.21545956202749,1938.0,-0.15102990445496545,-0.2622736996265238
38,9.841369863013696,10.0,6.882495976429828,1939.0,-0.5035868061460107,-0.5753436334254356
39,9.340710382513661,10.7,7.919032633481092,1940.0,-1.0340634623096836,-0.915064814155848
40,9.469041095890411,9.0,7.347874807579871,1941.0,-0.9355499245965717,-0.6284266747303527
41,10.09041095890411,10.9,8.501783335606351,1942.0,-0.3439972372465103,0.06123540686230766
42,11.076164383561643,11.2,7.159536526173123,1943.0,0.6119390117473777,0.8731646314442502
43,10.287431693989072,10.3,7.971583467214877,1944.0,-0.20661085348883113,-0.27462107366952865
44,11.022739726027398,10.9,8.297457782965415,1945.0,0.49888000288585665,0.3862915749748921
45,10.673698630136986,11.8,7.515951444608852,1946.0,0.12002173133179994,0.044659617109739785
46,11.463013698630137,11.7,8.530622068213486,1947.0,0.879519624161313,0.7248002370521645
47,10.554371584699453,11.1,6.610644800055848,1948.0,-0.05893966543300877,-0.2857333352724287
48,11.085753424657534,11.1,7.774042098125606,1949.0,0.4426249988614277,0.23984052080542378
49,10.879178082191782,10.4,7.8509924047968385,1950.0,0.20623248073203726,0.10950597488384559
50,10.578630136986302,10.1,6.934139407822087,1951.0,-0.12413264013708059,-0.2840749691799682
51,10.896994535519125,11.2,8.088731667173272,1952.0,0.16441458273209797,0.12538808930976977
52,10.687123287671234,11.2,7.653166671932917,1953.0,-0.07527384077943111,-0.10006223398054716
53,10.36821917808219,9.7,7.17256895723802,1954.0,-0.4239951260321124,-0.46376341517711145
54,10.69890410958904,10.8,7.069152062562872,1955.0,-0.12312737018890019,-0.03745786358487013
55,9.479234972677597,9.5,7.990076411209429,1956.0,-1.3726136827639888,-1.271149302948101
56,10.406301369863012,10.4,6.820093032713026,1957.0,-0.47536446124221143,-0.18334922199386894
57,10.544383561643835,10.1,7.228161688212144,1958.0,-0.36709944512502624,0.018796450020960587
58,11.16876712328767,10.9,7.09813935246752,1959.0,0.22746694085516417,0.3907212940166762
59,10.639617486338798,10.4,6.62654180486614,1960.0,-0.3314998717573463,-0.31505116580188103
60,11.497808219178081,11.6,6.705639386255697,1961.0,0.4968736854182989,0.49587824921999135
61,9.076164383561645,8.6,7.682612491736032,1962.0,-0.43274736859965834,-0.4798142040066904
62,8.47972602739726,9.8,8.226269562428877,1963.0,-1.0590029004276804,-1.0992600039678038
63,9.672131147540984,9.25,7.5014913106743695,1964.0,0.1035850440524051,0.4000374182783359
64,8.831780821917807,9.4,6.812014947439317,1965.0,-0.7665824572344171,-0.5701144774374738
65,9.965479452054796,10.6,7.039965394109792,1966.0,0.33729899723893375,0.45370048270615404
66,9.667945205479452,9.9,7.170983762975443,1967.0,0.009947574999952025,0.09292680126474935
67,9.315573770491802,10.3,6.753491482494966,1968.0,-0.37224103565133504,-0.4681835479071036
68,9.156986301369864,10.2,7.386807866264598,1969.0,-0.5606456804369184,-0.5046766615651205
69,9.246301369863014,8.6,7.428514173171819,1970.0,-0.5011477876074064,-0.3209948009039685
